Titre,Meta,Slug,Groupe,combined_text,similar_titles
Créer un statut de micro-entreprise,Les étapes légales et obligations pour lancer une micro-entreprise en toute conformité,creer-statut-micro-entreprise,Legal,Créer un statut de micro-entreprise. Les étapes légales et obligations pour lancer une micro-entreprise en toute conformité,"['Sécuriser un paiement en ligne : obligations légales', 'Bien choisir son statut juridique pour se lancer', 'Miser sur le marketing d’influence', 'Gérer les congés et absences en PME', 'Préparer une levée de fonds en capital-risque']"
Améliorer le SEO local : astuces et outils,Optimiser sa visibilité dans les recherches géolocalisées pour attirer plus de clients,ameliorer-seo-local-astuces,SEO,Améliorer le SEO local : astuces et outils. Optimiser sa visibilité dans les recherches géolocalisées pour attirer plus de clients,"['Décoder les Google Updates : comment s’adapter ?', 'Concevoir un site e-commerce : UX et SEO', 'Faire un audit SEO technique : checklist', 'Elaborer une stratégie SEA multicompte', 'Optimiser ses balises Title et Meta Description']"
Gérer la motivation des équipes à distance,Techniques de management pour garder un esprit d’équipe malgré la distance,gerer-motivation-equipes-distance,Management,Gérer la motivation des équipes à distance. Techniques de management pour garder un esprit d’équipe malgré la distance,"['Donner du sens à son travail : techniques de motivation', 'Mettre en place la comptabilité analytique', 'Définir les rôles et responsabilités en management', 'Gérer les congés et absences en PME', 'Passer de manager à leader : le changement de posture']"
Structurer sa campagne SEA : mots-clés et enchères,Sélectionner les bons mots-clés et fixer une stratégie d’enchères adaptée à son budget,structurer-campagne-sea,SEA,Structurer sa campagne SEA : mots-clés et enchères. Sélectionner les bons mots-clés et fixer une stratégie d’enchères adaptée à son budget,"['Gérer un budget SEA de grande envergure', 'Mettre en place une veille concurrentielle SEO', 'Utiliser Google Ads : premiers pas', 'Gérer ses performances financières mensuelles', 'Elaborer une stratégie SEA multicompte']"
Développer un logo impactant : principes de base,"Typographie, couleurs et formes pour marquer durablement l’esprit des clients",developper-logo-impactant,Design,"Développer un logo impactant : principes de base. Typographie, couleurs et formes pour marquer durablement l’esprit des clients","['Fidéliser grâce à un branding cohérent', 'Miser sur le marketing d’influence', 'Préparer une levée de fonds en capital-risque', 'Mettre en place le SSO (Single Sign-On)', 'Techniques de link-building avancées']"
Mettre en place la comptabilité analytique,Suivre précisément les coûts et la rentabilité par produit ou service,mettre-place-comptabilite-analytique,Finance,Mettre en place la comptabilité analytique. Suivre précisément les coûts et la rentabilité par produit ou service,"['Faire une veille concurrentielle sur les réseaux sociaux', 'Améliorer la rentabilité : marge et coûts variables', 'Gérer ses performances financières mensuelles', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Organiser une campagne de crowdfunding : étapes clés']"
Utiliser Google Ads : premiers pas,"Créer un compte, sélectionner les mots-clés et paramétrer une campagne de base",utiliser-google-ads-premiers-pas,SEA,"Utiliser Google Ads : premiers pas. Créer un compte, sélectionner les mots-clés et paramétrer une campagne de base","['Elaborer une stratégie SEA multicompte', 'Cas pratique : migrer son site vers un nouveau CMS', 'Structurer sa campagne SEA : mots-clés et enchères', 'Concevoir un site e-commerce : UX et SEO', 'Mettre en place la comptabilité analytique']"
Lancer un blog professionnel : aspects légaux,"Mentions obligatoires, RGPD et droits d’auteur à respecter",lancer-blog-professionnel-legal,Legal,"Lancer un blog professionnel : aspects légaux. Mentions obligatoires, RGPD et droits d’auteur à respecter","['Booster sa créativité au quotidien', 'Créer une newsletter interne pour ses employés', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Mettre en place la comptabilité analytique', 'Créer des visuels percutants pour les réseaux sociaux']"
Concevoir une UI minimaliste et ergonomique,Focus sur le design épuré pour améliorer l’expérience utilisateur,concevoir-ui-minimaliste-ergonomique,Design,Concevoir une UI minimaliste et ergonomique. Focus sur le design épuré pour améliorer l’expérience utilisateur,"['Créer un design system : pourquoi et comment', 'Animer un brainstorming productif', 'Gérer la motivation des équipes à distance', 'Booster sa créativité au quotidien', 'Développer un logo impactant : principes de base']"
Gérer ses performances financières mensuelles,Mise en place de tableaux de bord et indicateurs clés de trésorerie,gerer-performances-financieres-mensuelles,Finance,Gérer ses performances financières mensuelles. Mise en place de tableaux de bord et indicateurs clés de trésorerie,"['Trouver des financements publics : subventions et prêts', 'Gérer un budget SEA de grande envergure', 'Préparer une levée de fonds en capital-risque', 'Mettre en place la comptabilité analytique', 'Structurer sa campagne SEA : mots-clés et enchères']"
Techniques de link-building avancées,Approches qualitatives pour renforcer l’autorité et la visibilité d’un site,techniques-link-building-avancees,SEO,Techniques de link-building avancées. Approches qualitatives pour renforcer l’autorité et la visibilité d’un site,"['Cas pratique : migrer son site vers un nouveau CMS', 'Boostez votre référencement grâce au netlinking', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Faire un audit SEO technique : checklist', 'Concevoir un site e-commerce : UX et SEO']"
Animer un brainstorming productif,Créer une dynamique de groupe et extraire des idées innovantes,animer-brainstorming-productif,Management,Animer un brainstorming productif. Créer une dynamique de groupe et extraire des idées innovantes,"['Améliorer la cohésion d’équipe en événementiel', 'Innover en RH : onboarding digital et gamification', 'Organiser une campagne de crowdfunding : étapes clés', 'Booster sa créativité au quotidien', 'Concevoir une UI minimaliste et ergonomique']"
Protéger sa marque : enregistrement et veille,Pourquoi et comment déposer une marque pour éviter le plagiat,proteger-marque-enregistrement-veille,Legal,Protéger sa marque : enregistrement et veille. Pourquoi et comment déposer une marque pour éviter le plagiat,"['Lancer un blog professionnel : aspects légaux', 'Définir un Tone of Voice pour votre marque', 'Fidéliser grâce à un branding cohérent', 'Gérer les congés et absences en PME', 'Sécuriser un paiement en ligne : obligations légales']"
Optimiser ses balises Title et Meta Description,Stratégies SEO on-page pour améliorer le taux de clic dans les SERPs,optimiser-balises-title-meta-description,SEO,Optimiser ses balises Title et Meta Description. Stratégies SEO on-page pour améliorer le taux de clic dans les SERPs,"['Décoder les Google Updates : comment s’adapter ?', 'Faire un audit SEO technique : checklist', 'Cas pratique : migrer son site vers un nouveau CMS', 'Mettre en place une veille concurrentielle SEO', 'Améliorer le SEO local : astuces et outils']"
Aménager un espace de travail zen chez soi,"Ergonomie, décoration et astuces pour favoriser la concentration",amenager-espace-travail-zen,Lifestyle,"Aménager un espace de travail zen chez soi. Ergonomie, décoration et astuces pour favoriser la concentration","['Booster sa créativité au quotidien', 'Concevoir une UI minimaliste et ergonomique', 'Gérer un budget SEA de grande envergure', 'Améliorer sa concentration en télétravail', 'Créer une atmosphère propice au bien-être dans un open-space']"
Piloter une équipe Tech en mode Agile,Mettre en place Scrum ou Kanban pour accélérer le développement,piloter-equipe-tech-agile,Tech,Piloter une équipe Tech en mode Agile. Mettre en place Scrum ou Kanban pour accélérer le développement,"['Animer un brainstorming productif', 'Gérer les congés et absences en PME', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Booster sa créativité au quotidien', 'Gérer la motivation des équipes à distance']"
Trouver le bon régime matrimonial pour votre société,Aspects juridiques et impacts fiscaux sur le patrimoine professionnel,trouver-regime-matrimonial-societe,Legal,Trouver le bon régime matrimonial pour votre société. Aspects juridiques et impacts fiscaux sur le patrimoine professionnel,"['Bien gérer un contrat d’apprentissage', 'Gérer les congés et absences en PME', 'Définir les rôles et responsabilités en management', 'Lancer un blog professionnel : aspects légaux', 'Mettre en place la comptabilité analytique']"
Configurer Google Tag Manager pour le SEA,Suivre les conversions et les clics pour optimiser le budget publicitaire,configurer-google-tag-manager-sea,SEA,Configurer Google Tag Manager pour le SEA. Suivre les conversions et les clics pour optimiser le budget publicitaire,"['Elaborer une stratégie SEA multicompte', 'Décoder les Google Updates : comment s’adapter ?', 'Maîtriser Google Analytics 4 pour un suivi SEA', 'Cas pratique : migrer son site vers un nouveau CMS', 'Améliorer le SEO local : astuces et outils']"
Fidéliser grâce à un branding cohérent,Construire une identité forte pour améliorer la rétention client,fideliser-branding-coherent,Marketing,Fidéliser grâce à un branding cohérent. Construire une identité forte pour améliorer la rétention client,"['Développer un logo impactant : principes de base', 'Miser sur le marketing d’influence', 'Préparer une levée de fonds en capital-risque', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Protéger sa marque : enregistrement et veille']"
Automatiser sa facturation : solutions et avantages,Gagner du temps et réduire les erreurs via des outils de facturation en ligne,automatiser-facturation-solutions,Finance,Automatiser sa facturation : solutions et avantages. Gagner du temps et réduire les erreurs via des outils de facturation en ligne,"['Techniques de link-building avancées', 'Motiver ses collaborateurs : leviers psychologiques', 'Lancer un blog professionnel : aspects légaux', 'Booster sa créativité au quotidien', 'Créer des visuels percutants pour les réseaux sociaux']"
Booster sa créativité au quotidien,Exercices pratiques pour stimuler l’imagination et penser hors du cadre,booster-creativite-quotidien,Lifestyle,Booster sa créativité au quotidien. Exercices pratiques pour stimuler l’imagination et penser hors du cadre,"['Miser sur le marketing d’influence', 'Donner du sens à son travail : techniques de motivation', 'Bien choisir son statut juridique pour se lancer', 'Créer des visuels percutants pour les réseaux sociaux', 'Lancer un blog professionnel : aspects légaux']"
Elaborer une stratégie SEA multicompte,Comment répartir le budget et suivre les performances sur plusieurs comptes Google Ads,elaborer-strategie-sea-multicompte,SEA,Elaborer une stratégie SEA multicompte. Comment répartir le budget et suivre les performances sur plusieurs comptes Google Ads,"['Utiliser Google Ads : premiers pas', 'Configurer Google Tag Manager pour le SEA', 'Maîtriser Google Analytics 4 pour un suivi SEA', 'Décoder les Google Updates : comment s’adapter ?', 'Faire une veille concurrentielle sur les réseaux sociaux']"
Mettre en place une veille concurrentielle SEO,Surveiller les mots-clés et le positionnement de la concurrence en continu,veille-concurrentielle-seo,SEO,Mettre en place une veille concurrentielle SEO. Surveiller les mots-clés et le positionnement de la concurrence en continu,"['Cas pratique : migrer son site vers un nouveau CMS', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Structurer sa campagne SEA : mots-clés et enchères', 'Optimiser ses balises Title et Meta Description', 'Décoder les Google Updates : comment s’adapter ?']"
Recruter un développeur Full Stack : profils et tests,"Compétences clés, entretiens techniques et évaluation des projets personnels",recruter-developpeur-full-stack,HR,"Recruter un développeur Full Stack : profils et tests. Compétences clés, entretiens techniques et évaluation des projets personnels","['Améliorer la cohésion d’équipe en événementiel', 'Donner du sens à son travail : techniques de motivation', 'Piloter une équipe Tech en mode Agile', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Passer de manager à leader : le changement de posture']"
Améliorer la rentabilité : marge et coûts variables,Calculer la marge unitaire et identifier les leviers de réduction des coûts,ameliorer-rentabilite-marge-couts,Finance,Améliorer la rentabilité : marge et coûts variables. Calculer la marge unitaire et identifier les leviers de réduction des coûts,"['Mettre en place la comptabilité analytique', 'Gérer un budget SEA de grande envergure', 'Créer un statut de micro-entreprise', 'Gérer ses performances financières mensuelles', 'Maîtriser la gestion de projet transversal']"
L’importance du copywriting en marketing,Comment des textes persuasifs peuvent augmenter le taux de conversion,importance-copywriting-marketing,Marketing,L’importance du copywriting en marketing. Comment des textes persuasifs peuvent augmenter le taux de conversion,"['Miser sur le marketing d’influence', 'Booster sa créativité au quotidien', 'Concevoir un site e-commerce : UX et SEO', 'Exploiter la data : l’approche Data-Driven Marketing', 'Créer des visuels percutants pour les réseaux sociaux']"
Définir les rôles et responsabilités en management,Clarifier la mission de chacun pour une meilleure efficacité collective,definir-roles-responsabilites-management,Management,Définir les rôles et responsabilités en management. Clarifier la mission de chacun pour une meilleure efficacité collective,"['Passer de manager à leader : le changement de posture', 'Gérer les congés et absences en PME', 'Organiser une campagne de crowdfunding : étapes clés', 'Améliorer la cohésion d’équipe en événementiel', 'Mettre en place la comptabilité analytique']"
S’initier à la conception d’API REST,"Principes de base, endpoints et bonnes pratiques de versioning",initier-conception-api-rest,Tech,"S’initier à la conception d’API REST. Principes de base, endpoints et bonnes pratiques de versioning","['Créer des visuels percutants pour les réseaux sociaux', 'Créer un design system : pourquoi et comment', 'Décoder les Google Updates : comment s’adapter ?', 'Cas pratique : migrer son site vers un nouveau CMS', 'Boostez votre référencement grâce au netlinking']"
Bien choisir son statut juridique pour se lancer,"SASU, EURL, micro-entreprise : quelles différences et avantages ?",bien-choisir-statut-juridique,Légal,"Bien choisir son statut juridique pour se lancer. SASU, EURL, micro-entreprise : quelles différences et avantages ?","['Créer des visuels percutants pour les réseaux sociaux', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Créer un statut de micro-entreprise', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Booster sa créativité au quotidien']"
Déployer une architecture microservices,"Scalabilité, résilience et contraintes techniques à prendre en compte",deployer-architecture-microservices,Tech,"Déployer une architecture microservices. Scalabilité, résilience et contraintes techniques à prendre en compte","['Créer un statut de micro-entreprise', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Développer un logo impactant : principes de base', 'Fidéliser grâce à un branding cohérent', 'Techniques de link-building avancées']"
Maîtriser la gestion de projet transversal,Coordonner plusieurs équipes et départements pour un même objectif,maitriser-gestion-projet-transversal,Management,Maîtriser la gestion de projet transversal. Coordonner plusieurs équipes et départements pour un même objectif,"['Mettre en place une veille concurrentielle SEO', 'Créer une newsletter interne pour ses employés', 'Booster sa créativité au quotidien', 'Gérer la motivation des équipes à distance', 'Choisir entre Slack Teams ou Discord pour sa communication']"
Créer des visuels percutants pour les réseaux sociaux,Choisir les bons formats et accrocher l’attention dans le fil d’actualité,creer-visuels-percutants-reseaux-sociaux,Design,Créer des visuels percutants pour les réseaux sociaux. Choisir les bons formats et accrocher l’attention dans le fil d’actualité,"['Faire une veille concurrentielle sur les réseaux sociaux', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Bien choisir son statut juridique pour se lancer', 'Créer une newsletter interne pour ses employés', 'Définir un Tone of Voice pour votre marque']"
Organiser une campagne de crowdfunding : étapes clés,"Comment présenter son projet, mobiliser sa communauté et atteindre son objectif",organiser-campagne-crowdfunding,Finance,"Organiser une campagne de crowdfunding : étapes clés. Comment présenter son projet, mobiliser sa communauté et atteindre son objectif","['Miser sur le marketing d’influence', 'Définir les rôles et responsabilités en management', 'Gérer les congés et absences en PME', 'Mettre en place la comptabilité analytique', 'Animer un brainstorming productif']"
Gérer un budget SEA de grande envergure,Structurer ses campagnes et répartir les dépenses sur plusieurs canaux,gerer-budget-sea-grande-envergure,SEA,Gérer un budget SEA de grande envergure. Structurer ses campagnes et répartir les dépenses sur plusieurs canaux,"['Structurer sa campagne SEA : mots-clés et enchères', 'Gérer ses performances financières mensuelles', 'Elaborer une stratégie SEA multicompte', 'Préparer une levée de fonds en capital-risque', 'Mettre en place la comptabilité analytique']"
Miser sur le marketing d’influence,Collaborer avec des influenceurs pour booster sa visibilité,miser-marketing-influence,Marketing,Miser sur le marketing d’influence. Collaborer avec des influenceurs pour booster sa visibilité,"['Exploiter la data : l’approche Data-Driven Marketing', 'Booster sa créativité au quotidien', 'L’importance du copywriting en marketing', 'Organiser une campagne de crowdfunding : étapes clés', 'Fidéliser grâce à un branding cohérent']"
Exploiter la data : l’approche Data-Driven Marketing,Collecter et analyser les données pour affiner sa stratégie,exploiter-data-datadriven-marketing,Marketing,Exploiter la data : l’approche Data-Driven Marketing. Collecter et analyser les données pour affiner sa stratégie,"['Miser sur le marketing d’influence', 'Elaborer une stratégie SEA multicompte', 'Animer un brainstorming productif', 'Décoder les Google Updates : comment s’adapter ?', 'Faire une veille concurrentielle sur les réseaux sociaux']"
Boostez votre référencement grâce au netlinking,Stratégies pour obtenir des backlinks de qualité et monter dans les SERPs,booster-referencement-netlinking,SEO,Boostez votre référencement grâce au netlinking. Stratégies pour obtenir des backlinks de qualité et monter dans les SERPs,"['Techniques de link-building avancées', 'Améliorer le SEO local : astuces et outils', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Créer des visuels percutants pour les réseaux sociaux', 'Mettre en place une veille concurrentielle SEO']"
Créer une atmosphère propice au bien-être dans un open-space,"Luminosité, insonorisation et zones de détente pour améliorer la productivité",creer-atmosphere-bien-etre-openspace,Lifestyle,"Créer une atmosphère propice au bien-être dans un open-space. Luminosité, insonorisation et zones de détente pour améliorer la productivité","['Aménager un espace de travail zen chez soi', 'Gérer un budget SEA de grande envergure', 'Mettre en place la comptabilité analytique', 'Maîtriser la gestion de projet transversal', 'Améliorer la rentabilité : marge et coûts variables']"
Mettre en place le SSO (Single Sign-On),"Sécurité, facilité d’accès et réduction de la friction pour les utilisateurs",mettre-place-sso-single-sign-on,Tech,"Mettre en place le SSO (Single Sign-On). Sécurité, facilité d’accès et réduction de la friction pour les utilisateurs","['Développer un logo impactant : principes de base', 'Créer un design system : pourquoi et comment', 'Bien choisir son statut juridique pour se lancer', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Mettre en place la comptabilité analytique']"
Préparer une levée de fonds en capital-risque,"Dossier, business plan et négociation pour convaincre les VCs",preparer-levee-fonds-capital-risque,Finance,"Préparer une levée de fonds en capital-risque. Dossier, business plan et négociation pour convaincre les VCs","['Gérer les congés et absences en PME', 'Gérer ses performances financières mensuelles', 'Fidéliser grâce à un branding cohérent', 'Gérer un budget SEA de grande envergure', 'Trouver des financements publics : subventions et prêts']"
Motiver ses collaborateurs : leviers psychologiques,"Reconnaissance, autonomie et perspectives d’évolution pour un engagement durable",motiver-collaborateurs-leviers-psychologiques,HR,"Motiver ses collaborateurs : leviers psychologiques. Reconnaissance, autonomie et perspectives d’évolution pour un engagement durable","['Donner du sens à son travail : techniques de motivation', 'Améliorer la cohésion d’équipe en événementiel', 'Booster sa créativité au quotidien', 'Animer un brainstorming productif', 'Innover en RH : onboarding digital et gamification']"
Faire un audit SEO technique : checklist,"Vérifier la structure du site, les performances et les éventuelles erreurs d’exploration",faire-audit-seo-technique,SEO,"Faire un audit SEO technique : checklist. Vérifier la structure du site, les performances et les éventuelles erreurs d’exploration","['Cas pratique : migrer son site vers un nouveau CMS', 'Concevoir un site e-commerce : UX et SEO', 'Décoder les Google Updates : comment s’adapter ?', 'Optimiser ses balises Title et Meta Description', 'Mettre en place une veille concurrentielle SEO']"
Choisir entre Slack Teams ou Discord pour sa communication,Comparer les fonctionnalités et l’ergonomie selon les besoins de l’équipe,choisir-slack-teams-discord,Tech,Choisir entre Slack Teams ou Discord pour sa communication. Comparer les fonctionnalités et l’ergonomie selon les besoins de l’équipe,"['Créer des visuels percutants pour les réseaux sociaux', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Gérer les congés et absences en PME', 'Bien choisir son statut juridique pour se lancer', 'Mettre en place la comptabilité analytique']"
Maîtriser Google Analytics 4 pour un suivi SEA,Analyser les conversions et l’attribution dans les rapports de campagne,maitriser-google-analytics4-sea,SEA,Maîtriser Google Analytics 4 pour un suivi SEA. Analyser les conversions et l’attribution dans les rapports de campagne,"['Elaborer une stratégie SEA multicompte', 'Configurer Google Tag Manager pour le SEA', 'Décoder les Google Updates : comment s’adapter ?', 'Exploiter la data : l’approche Data-Driven Marketing', 'Améliorer le SEO local : astuces et outils']"
Innover en RH : onboarding digital et gamification,Intégrer les nouveaux collaborateurs de manière ludique et interactive,innover-rh-onboarding-digital,HR,Innover en RH : onboarding digital et gamification. Intégrer les nouveaux collaborateurs de manière ludique et interactive,"['Animer un brainstorming productif', 'Créer un design system : pourquoi et comment', 'Motiver ses collaborateurs : leviers psychologiques', 'Concevoir une UI minimaliste et ergonomique', 'Techniques de link-building avancées']"
Cas pratique : migrer son site vers un nouveau CMS,Les étapes pour conserver son SEO et limiter les risques techniques,cas-pratique-migrer-site-nouveau-cms,SEO,Cas pratique : migrer son site vers un nouveau CMS. Les étapes pour conserver son SEO et limiter les risques techniques,"['Décoder les Google Updates : comment s’adapter ?', 'Faire un audit SEO technique : checklist', 'Mettre en place une veille concurrentielle SEO', 'Concevoir un site e-commerce : UX et SEO', 'Optimiser ses balises Title et Meta Description']"
Les bases de la fiscalité internationale,Comprendre la double imposition et les conventions fiscales,bases-fiscalite-internationale,Finance,Les bases de la fiscalité internationale. Comprendre la double imposition et les conventions fiscales,"['Trouver des financements publics : subventions et prêts', 'Bien gérer un contrat d’apprentissage', 'Sécuriser un paiement en ligne : obligations légales', 'Trouver le bon régime matrimonial pour votre société', 'Créer des visuels percutants pour les réseaux sociaux']"
Améliorer la cohésion d’équipe en événementiel,Activités de team-building et organisation de séminaires mémorables,ameliorer-cohesion-equipe-evenementiel,HR,Améliorer la cohésion d’équipe en événementiel. Activités de team-building et organisation de séminaires mémorables,"['Animer un brainstorming productif', 'Définir les rôles et responsabilités en management', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Recruter un développeur Full Stack : profils et tests']"
Bien gérer un contrat d’apprentissage,"Obligations légales, avantages et suivi du parcours de l’apprenti",bien-gerer-contrat-apprentissage,Legal,"Bien gérer un contrat d’apprentissage. Obligations légales, avantages et suivi du parcours de l’apprenti","['Sécuriser un paiement en ligne : obligations légales', 'Trouver le bon régime matrimonial pour votre société', 'Gérer les congés et absences en PME', 'Préparer une levée de fonds en capital-risque', 'Lancer un blog professionnel : aspects légaux']"
Passer de manager à leader : le changement de posture,"Écoute active, vision et inspiration pour mobiliser ses équipes",passer-manager-leader-changement-posture,Management,"Passer de manager à leader : le changement de posture. Écoute active, vision et inspiration pour mobiliser ses équipes","['Définir les rôles et responsabilités en management', 'Donner du sens à son travail : techniques de motivation', 'Améliorer la cohésion d’équipe en événementiel', 'Gérer la motivation des équipes à distance', 'Booster sa créativité au quotidien']"
S'initier au motion design pour sa marque,Concevoir des animations et vidéos explicatives pour dynamiser sa communication,sinitier-motion-design-marque,Design,S'initier au motion design pour sa marque. Concevoir des animations et vidéos explicatives pour dynamiser sa communication,"['Créer un design system : pourquoi et comment', 'Booster sa créativité au quotidien', 'Animer un brainstorming productif', 'Définir un Tone of Voice pour votre marque', 'Créer des visuels percutants pour les réseaux sociaux']"
Améliorer sa concentration en télétravail,Techniques pour lutter contre les distractions et mieux gérer son temps,ameliorer-concentration-teletravail,Lifestyle,Améliorer sa concentration en télétravail. Techniques pour lutter contre les distractions et mieux gérer son temps,"['Aménager un espace de travail zen chez soi', 'Booster sa créativité au quotidien', 'Créer des visuels percutants pour les réseaux sociaux', 'Gérer la motivation des équipes à distance', 'Faire une veille concurrentielle sur les réseaux sociaux']"
Concevoir un site e-commerce : UX et SEO,Aligner l’expérience utilisateur et le référencement pour augmenter les ventes,concevoir-site-ecommerce-ux-seo,Tech,Concevoir un site e-commerce : UX et SEO. Aligner l’expérience utilisateur et le référencement pour augmenter les ventes,"['Faire un audit SEO technique : checklist', 'Cas pratique : migrer son site vers un nouveau CMS', 'Décoder les Google Updates : comment s’adapter ?', 'Améliorer le SEO local : astuces et outils', 'Utiliser Google Ads : premiers pas']"
Trouver des financements publics : subventions et prêts,Identifier les aides nationales et européennes pour booster ses projets,trouver-financements-publics-subventions,Finance,Trouver des financements publics : subventions et prêts. Identifier les aides nationales et européennes pour booster ses projets,"['Gérer ses performances financières mensuelles', 'Les bases de la fiscalité internationale', 'Préparer une levée de fonds en capital-risque', 'Gérer un budget SEA de grande envergure', 'Organiser une campagne de crowdfunding : étapes clés']"
Construire une charte graphique cohérente,"Polices, palette de couleurs et usages pour garder une image uniforme",construire-charte-graphique-coherente,Design,"Construire une charte graphique cohérente. Polices, palette de couleurs et usages pour garder une image uniforme","['Créer des visuels percutants pour les réseaux sociaux', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Techniques de link-building avancées', 'Développer un logo impactant : principes de base', 'Définir un Tone of Voice pour votre marque']"
Faire une veille concurrentielle sur les réseaux sociaux,Repérer les tendances et opportunités pour ajuster sa stratégie en temps réel,faire-veille-concurrentielle-reseaux-sociaux,Marketing,Faire une veille concurrentielle sur les réseaux sociaux. Repérer les tendances et opportunités pour ajuster sa stratégie en temps réel,"['Créer des visuels percutants pour les réseaux sociaux', 'Mettre en place une veille concurrentielle SEO', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Bien choisir son statut juridique pour se lancer', 'Mettre en place la comptabilité analytique']"
Améliorer son hygiène numérique,"Sécuriser ses mots de passe, chiffrer ses données et gérer ses autorisations d’accès",ameliorer-hygiene-numerique,Tech,"Améliorer son hygiène numérique. Sécuriser ses mots de passe, chiffrer ses données et gérer ses autorisations d’accès","['Mettre en place la comptabilité analytique', 'Sécuriser un paiement en ligne : obligations légales', 'Lancer un blog professionnel : aspects légaux', 'Aménager un espace de travail zen chez soi', 'Protéger sa marque : enregistrement et veille']"
Gérer les congés et absences en PME,Outils et règles légales pour organiser le planning des collaborateurs,gerer-conges-absences-pme,HR,Gérer les congés et absences en PME. Outils et règles légales pour organiser le planning des collaborateurs,"['Préparer une levée de fonds en capital-risque', 'Définir les rôles et responsabilités en management', 'Choisir entre Slack Teams ou Discord pour sa communication', 'Apprendre à diriger un meeting : ordre du jour et timing', 'Bien gérer un contrat d’apprentissage']"
Décoder les Google Updates : comment s’adapter ?,Suivre les changements d’algorithmes et ajuster sa stratégie SEO,decoder-google-updates-sadapter,SEO,Décoder les Google Updates : comment s’adapter ?. Suivre les changements d’algorithmes et ajuster sa stratégie SEO,"['Cas pratique : migrer son site vers un nouveau CMS', 'Faire un audit SEO technique : checklist', 'Optimiser ses balises Title et Meta Description', 'Configurer Google Tag Manager pour le SEA', 'Mettre en place une veille concurrentielle SEO']"
Créer une newsletter interne pour ses employés,Fédérer et informer régulièrement les équipes sur les projets en cours,creer-newsletter-interne-employes,Management,Créer une newsletter interne pour ses employés. Fédérer et informer régulièrement les équipes sur les projets en cours,"['Créer des visuels percutants pour les réseaux sociaux', 'Faire une veille concurrentielle sur les réseaux sociaux', 'Lancer un blog professionnel : aspects légaux', 'Utiliser Google Ads : premiers pas', 'Bien choisir son statut juridique pour se lancer']"
Définir un Tone of Voice pour votre marque,Règles éditoriales et style pour construire une identité mémorable,definir-tone-of-voice-marque,Marketing,Définir un Tone of Voice pour votre marque. Règles éditoriales et style pour construire une identité mémorable,"['Créer des visuels percutants pour les réseaux sociaux', 'Protéger sa marque : enregistrement et veille', 'Apprendre à diriger un meeting : ordre du jour et timing', 'Lancer un blog professionnel : aspects légaux', ""S'initier au motion design pour sa marque""]"
Donner du sens à son travail : techniques de motivation,Définir sa mission personnelle et aligner ses objectifs avec l’entreprise,donner-sens-travail-techniques-motivation,Lifestyle,Donner du sens à son travail : techniques de motivation. Définir sa mission personnelle et aligner ses objectifs avec l’entreprise,"['Booster sa créativité au quotidien', 'Gérer la motivation des équipes à distance', 'Motiver ses collaborateurs : leviers psychologiques', 'Passer de manager à leader : le changement de posture', 'Miser sur le marketing d’influence']"
Sécuriser un paiement en ligne : obligations légales,"Conformité, DSP2 et respect des normes pour protéger les transactions",securiser-paiement-en-ligne-legal,Legal,"Sécuriser un paiement en ligne : obligations légales. Conformité, DSP2 et respect des normes pour protéger les transactions","['Bien gérer un contrat d’apprentissage', 'Créer un statut de micro-entreprise', 'Gérer ses performances financières mensuelles', 'Lancer un blog professionnel : aspects légaux', 'Mettre en place la comptabilité analytique']"
Créer un design system : pourquoi et comment,Harmoniser les interfaces et gagner du temps dans la conception,creer-design-system-pourquoi-comment,Design,Créer un design system : pourquoi et comment. Harmoniser les interfaces et gagner du temps dans la conception,"['Concevoir une UI minimaliste et ergonomique', ""S'initier au motion design pour sa marque"", 'Créer des visuels percutants pour les réseaux sociaux', 'Techniques de link-building avancées', 'Innover en RH : onboarding digital et gamification']"
Apprendre à diriger un meeting : ordre du jour et timing,Savoir fixer des objectifs clairs et répartir la parole efficacement,apprendre-diriger-meeting-ordre-jour,Management,Apprendre à diriger un meeting : ordre du jour et timing. Savoir fixer des objectifs clairs et répartir la parole efficacement,"['Gérer les congés et absences en PME', 'Définir un Tone of Voice pour votre marque', 'Booster sa créativité au quotidien', ""S'initier au motion design pour sa marque"", 'Passer de manager à leader : le changement de posture']"
